Pneumomediastinum	HP:0025421
Abnormal CD69 upregulation upon TCR activation	None
Defective B cell differentiation	None
Respiratory complex deficiency, ATPase deficiency	None
Decreased activity of mitochondrial ATP synthase complex	None
Abnormal mitochondrial morphology	None
Abnormal mitochondrion morphology	None
Cardiomyocyte mitochondrial proliferation	None
Absence of delayed hypersensitivity skin test	None
Lack of delayed skin hypersensitivity reaction	None
Cutaneous anergy	None
Absent specific antibody response	None
Abnormal cardiomyocyte mitochondrial morphology	None
Abnormal cadiomyocyte dystrophin staining	None
Agammaglobulinaemia	None
Agammaglobulinemia	None
Abnormal flow cytometry test rest	None
Decreased circulating IgG3 level	None
Abnormal T-lymphocyte activation	None
Abnormal T cell activation	None
Abnormal T-cell activation	None
Abnormal T lymphocyte activation	None
Lipogranulomatosis	None
Elevated intracellular cystine	None
Increased anti-gluten IgE antibody level	None
Increased level of anti-gluten IgE antibody	None
Decreased serum IgG	None
IgG deficiency	None
Decreased gamma-globin expression	None
Decreased IgG level	None
Reduced IgG levels	None
Decreased circulating IgG level	None
Decreased immunoglobulin G	None
Reduced granulocyte CD16 level	None
Increased level of anti-plant based food allergen IgE antibody	None
Increased anti-plant based food allergen IgE antibody level	None
Reduced granulocyte surface marker level	None
Abnormal IgA level	None
Abnormal mitochondrial shape	None
Reduced fibroblast surface marker level	None
Lack of T cell function	None
Absent cellular immunity	None
Deficiency or absence of cytochrome b(-245)	None
Deficiency or absence of cytochrome b	None
Premature chromatid separation	None
Increased reactive oxygen species production	None
Oxidative stress	None
Increased ROS production	None
Oligoclonal elevation of circulating IgE	None
Complete or near-complete absence of specific antibody response to pneumococcus vaccine	None
Decreased specific antibody response to infection	None
Polyclonal elevation of IgM	None
Complete or near-complete absence of specific antibody response to meningococcus vaccine	None
Acid phosphatase elevated	None
Elevated serum acid phosphatase	None
Abnormality of glycosaminoglycan metabolism	None
Abnormal isohemagglutinin level	None
Abnormal level of natural antibody to blood group agents	None
Increased anti-feather IgE antibody level	None
Oligoclonal elevation of circulating IgG	None
Decreased circulating total IgG	None
Decreased lymphocyte proliferation in response to anti-CD3	None
Mitochondrial dysfunction	None
Abnormality of mitochondrial metabolism	None
Abnormal zona pellucida morphology	None
Intraaxonal accumulation of curvilinear autofluorescent lipopigment storage material	None
Intraaxonal accumulation of curvilinear profiles	None
Endopolyploidy on chromosome studies of bone marrow	None
3-Methylglutaric aciduria	None
3-methylglutaricaciduria	None
Monoclonal elevation of IgG	None
Complete or near-complete absence of specific antibody response to tetanus vaccine	None
Abnormal Langerhans cell morphology	None
Panhypogammaglobulinemia	None
Panypogammaglobulinemia	None
Specific pneumococcal antibody deficiency	None
Increased anti-dairy protein IgE antibody level	None
Increased anti-dairy IgE antibody level	None
Cellular hypersensitivity to diepoxybutane	None
Heavy-chain paraproteinemia	None
Hyperglobulinemia	None
Hypergammaglobulinaemia	None
Elevated immunoglobulin levels	None
Increased gamma globulin	None
Raised immunoglobulin levels	None
Increased antibody level in blood	None
Increased serum gamma globulin	None
Increased immunoglobulin level	None
Hypergammaglobulinemia	None
Whole-immunoglobulin paraproteinemia	None
Increased circulating IgG subtype	None
Complete or near-complete absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Respiratory complex IV deficiency	None
Decreased activity of mitochondrial complex IV	None
Increased hepatitis C virus antibody level	None
Profound depletion of T4+ lymphocytes	None
Decreased T cell activation	None
Decreased T lymphocyte activation	None
Decreased T-lymphocyte activation	None
Defective T cell activation	None
Decreased T-cell activation	None
Decreased plasma carnitine	None
Carnitine deficiency	None
Abnormal buccal mucosa cell morphology	None
Abnormal CD25 upregulation upon TCR activation	None
Oligoclonal elevation of circulating IgA	None
Complete or near-complete absence of specific antibody response to hepatitis B vaccine	None
'Fingerprint profiles' ultrastructurally in cells	None
Fingerprint intracellular accumulation of autofluorescent lipopigment storage material	None
Fingerprint profiles ultrastructurally	None
Pineocytomatous rosette	None
Neurocytic rosette	None
Abnormality of the cell cycle	None
Reduced natural killer cell activity	None
Decreased specific antibody response to polysaccharide vaccine	None
Decreased mitochondrial number	None
Monoclonal hypergammaglobulinemia	None
Paraproteinemia	None
Abnormality of chromosome condensation	None
IgD hypergammaglobulinemia	None
Increased circulating IgD level	None
Increased serum IgD	None
Elevated serum IgD	None
Increased IgD level	None
Increased levels of IgD	None
Elevated IgD	None
Mitochondrial swelling	None
Deficiency of delayed skin hypersensitivity	None
Reduced delayed hypersensitivity	None
Impaired delayed hypersensitivity	None
Decreased reactivity to skin test antigens	None
Partial absence of specific antibody response to pneumococcus vaccine	None
Intranuclear cardiomyocyte mitochondria	None
Increased anti-house dust mite IgE antibody level	None
Increased anti-house dust IgE antibody level	None
Increased level of anti-house dust IgE antibody	None
Chromosomal breakage induced by mitomycin C	None
Chromosomal breakage induced by diepoxybutane	None
Chromosomal breakage induced by crosslinking agents	None
Abnormal IgE level	None
Increased level of anti-bacteria IgE antibody	None
Increased anti-bacteria IgE antibody level	None
Impaired B-lymphocyte isotype switching	None
Impaired Ig class switch recombination	None
Partial IgA deficiency	None
Abnormality of T cell physiology	None
Increased rate of premature chromosome condensation	None
Abnormal cardiomyocyte morphology	None
Abnormal cardiac muscle cell morphology	None
Fibroblast metachromasia	None
Depressed antibody response to polysaccharide antigens	None
Specific anti-polysaccharide antibody deficiency	None
Abnormal mitochondrial number	None
Decreased IgM level	None
IgM deficiency	None
Decreased IgM	None
Reduced IgM levels	None
Decreased circulating total IgM	None
Increased sensitivity to ionising radiation	None
Increased sensitivity to ionizing radiation	None
Prolonged G2 phase of cell cycle	None
Cardiac hemangioma	None
Deep episcleral hyperemia	None
Deep episcleral hyperaemia	None
Discordant atrioventricular connection	None
Abnormal superior vena cava morphology	None
Atresia of coronary ostium	None
Coronary ostial atresia	None
Tonsillar hypoplasia	None
Absent tonsils	None
Hypoplastic tonsils	None
Type V atherosclerotic lesion	None
Common atrioventricular canal	None
Atrioventricular canal	None
Complete common AV canal	None
Complete atrioventricular canal defect	None
Complete atrioventricular septal defect	None
Abnormal vascular physiology	None
Abnormality of lingual artery	None
Abnormal lingual artery morphology	None
Frontal venous angioma	None
Cavernous hemangioma of the face	None
Complete right sided absence of pericardium	None
Pink eye	None
Conjunctivitis, recurrent	None
Conjunctivitis	None
Foveal hemorrhage	None
Foveal haemorrhage	None
Prominent U wave	None
Increased U wave amplitude	None
Palmoplantar erythema	None
Arterial dissection	None
Anomalous insertion of papillary muscle directly into anterior mitral leaflet	None
situs oppositus	None
Situs inversus totalis	None
All organs on wrong side of body	None
Situs inversus	None
situs transversus	None
Isolated systolic hypertension	None
Double inlet atrioventricular connection	None
Pulmonary arteriovenous fistulas	None
Complete heart block with broad QRS complexes	None
Vasculitis in the skin	None
Cutaneous vasculitis	None
Splenic rupture	None
Ruptured spleen	None
Recurrent bleeding into lungs	None
Recurrent pulmonary hemorrhage	None
Recurrent intrapulmonary hemorrhage	None
Abnormality of the coronary sinus	None
Abnormal coronary sinus morphology	None
Retinal microaneurysm	None
Coronary artery dissection	None
Increased QRS voltage	None
Telangiectasia of nasal mucous membrane	None
Spider veins of nasal mucous membrane	None
Nasal mucous membrane telangiectasia	None
Spider veins of mucous membrane of nose	None
Spider veins of mucosa of nose	None
Telangiectasia of mucosa of nose	None
Telangiectasia of mucous membrane of nose	None
Angioectasia of mucosa of nose	None
Nasal mucosa telangiectasia	None
Angioectasia of nasal mucous membrane	None
Angioectasia of mucous membrane of nose	None
Multilobulated spleen	None
Multi-lobulated spleen	None
Type IV truncus arteriosus	None
Type 4 truncus arteriosus	None
Persistent truncus arteriosus type IV	None
Non-occlusive coronary artery stenosis	None
Nonocclusive coronary artery stenosis	None
Nonocclusive coronary artery atherosclerosis	None
Nonocclusive coronary artery disease	None
Non-occlusive coronary artery disease	None
Abnormal heart valve physiology	None
Lymphatic disease	None
Abnormality of the lymphatic system	None
Anomalous origin of the left common carotid artery from the brachiocephalic artery	None
Anomalous origin of the left common carotid artery from the brachiocephalic trunk	None
Abnormal inferior vena cava morphology	None
Right bundle-branch block	None
Right bundle branch block	None
Sinus venosus atrial septal defect	None
Portal hypertension	None
ASD	None
Atrial septum defect	None
Atrial septal defect	None
An opening in the wall separating the top two chambers of the heart	None
Defect in the atrial septum	None
Atria septal defect	None
Hole in heart wall separating two upper heart chambers	None
Atrial cardiomyopathy	None
Anomalous hepatic venous drainage into the left atrium	None
Heart attack	None
Myocardial infarction	None
MI	None
Facial hemangiomata	None
Facial hemangioma	None
Complete left sided absence of pericardium	None
Absent lining around of left side of heart	None
GI telangiectasia	None
Small, enlarged blood vessels near skin	None
Gastrointestinal telangiectasia	None
Abnormal metabolic cart test	None
Abnormal resting energy expenditure from metabolic cart test	None
Premature coronary artery disease	None
Premature coronary artery atherosclerosis	None
Cardiomyocyte mitochondrial proliferation	None
Vertebrobasilar dolichoectasia	None
Thickened aortic valve cusp	None
Single ventricle of indeterminate morphology	None
Cardiac shunt	None
Underdeveloped nasopharyngeal adenoids	None
Hypoplastic nasopharyngeal adenoids	None
Exercise-induced U wave inversion	None
Glomeruloid hemangioma	None
Laryngeal hemangioma	None
Throat hemangioma	None
Abnormal tricuspid valve annulus morphology	None
Thymus hyperplasia	None
Thymic hyperplasia	None
Enlarged thymus	None
Dysplastic pulmonary valve	None
Right aortic arch with left descending aorta and left ductus arteriosus	None
Round retinal heme	None
Dot-and-blot retinal hemorrhage	None
Dot-and-blot retinal haemorrhage	None
Supernumerary spleens	None
Extra spleen	None
Small internal carotid artery	None
Aplasia of internal carotid artery	None
Hypotrophic internal carotid artery	None
Decreased size of internal carotid artery	None
Deficiency of internal carotid artery	None
Internal carotid artery hypoplasia	None
Thoracocervical ectopia cordis	None
Left ventricular abnormality	None
Abnormal heart left ventricle morphology	None
Abnormality of the left ventricle	None
Abnormal left ventricle morphology	None
Superior mesenteric artery aneurysm	None
Dilatation of superior mesenteric artery	None
Abnormality of the inferior labial artery	None
Abnormality of artery of lower lip	None
Paroxysmal tachycardia	None
Arteriovenous fistula	None
Arteriovenous fistulas	None
Posterior retinal neovascularization	None
Neovascularization of peripheral and posterior retina	None
Posterior retinal neovascularisation	None
Trifascicular block	None
Bleeding below the skin	None
Subcutaneous hemorrhage	None
Absent thymus	None
Athymia	None
Absent thymic shadow	None
Lack of thymic shadow	None
Aplasia of the thymus	None
Two-raphe bicuspid aortic valve	None
Dilated heart right ventricle	None
Right ventricular dilatation	None
Pleural lymphangiectasia	None
Abnormality of inferior alveolar artery	None
Myxomatous mitral valve degeneration	None
Tortuosity of conjunctival vessels	None
Abnormal aortic valve morphology	None
Abnormality of the aortic valve	None
Enlarged heart	None
Increased heart size	None
Cardiomegaly	None
Hypervolemia	None
Fluid overload in blood	None
Rudimentary tricuspid valve leaflets	None
Unguarded tricuspid valve	None
Unguarded tricuspid valve orifice	None
Double inlet to single ventricle with common atrioventricular orifice	None
Foam cells	None
Foamy histiocytes	None
Presence of foam cells	None
Foamy macrophages	None
Lipid-laden histiocytes	None
Labial hemangioma	None
Abnormal ventriculo-arterial connection	None
