Abnormality of the breast	HP:0000769
Defective lymphocyte apoptosis	None
Monoclonal elevation of intact IgG	None
Increased cellular radiosensitivity	None
Chromosomal breakage induced by ionizing radiation	None
Radiation-induced chromosome instability	None
Reduced fibroblast surface marker level	None
Absent specific antibody response	None
Increased circulating IgG subtype	None
Impaired memory B cell generation	None
Acid phosphatase elevated	None
Elevated serum acid phosphatase	None
Partial absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Partial absence of specific antibody response to meningococcus vaccine	None
Monoclonal elevation of IgG light chain	None
Abnormality of redox activity	None
Curvilinear intracellular accumulation of autofluorescent lipopigment storage material	None
Curvilinear profiles ultrastructurally	None
'Curvilinear profiles' ultrastructurally in cells	None
Intracellular curvilinear profiles on ultrastructural analysis	None
'curvilinear profiles' ultrastructurally	None
Agammaglobulinaemia	None
Agammaglobulinemia	None
Hyperglobulinemia	None
Hypergammaglobulinaemia	None
Elevated immunoglobulin levels	None
Increased gamma globulin	None
Raised immunoglobulin levels	None
Increased antibody level in blood	None
Increased serum gamma globulin	None
Increased immunoglobulin level	None
Hypergammaglobulinemia	None
3-Methylglutaconic aciduria	None
3-Methylglutaconicaciduria	None
Abnormal chromosome morphology	None
Granular osmiophilic deposits (GROD) in cells	None
Partial absence of specific antibody response to pneumococcus vaccine	None
Defective B cell activation	None
Reduced B cell function	None
Abnormality of B cell physiology	None
Partial absence of specific antibody response to tetanus vaccine	None
Mitochondrial lysine transport defect	None
Abnormality of chromosome segregation	None
Lack of T cell function	None
Absent cellular immunity	None
Decreased circulating IgG subclass level	None
Absent Birbeck granules in Langerhans cells	None
Increased circulating IgG1 level	None
Oligoclonal elevation of circulating IgM	None
Cardiomyocyte inclusion bodies	None
Monoclonal elevation of IgG lambda chain	None
Deficient excision of UV-induced pyrimidine dimers in DNA	None
Increased circulating total IgE level	None
Elevated immunoglobulin E	None
High immunoglobulin E	None
Elevated serum IgE	None
Polyclonal elevation of circulating IgA	None
Increased anti-egg IgE antibody level	None
Thin zona pellucida	None
Defective T cell proliferation	None
Premature chromatid separation	None
Reduced fibroblast CD55 level	None
Abnormal Langerhans cell morphology	None
Abnormal T-lymphocyte activation	None
Abnormal T cell activation	None
Abnormal T-cell activation	None
Abnormal T lymphocyte activation	None
Complete or near-complete absence of specific antibody response to hepatitis B vaccine	None
Respiratory complex I deficiency	None
Decreased activity of mitochondrial complex I	None
Increased anti-plant product IgE antibody level	None
Decreased IgD	None
Decreased circulating total IgD	None
IgD deficiency	None
Increased anti-feather IgE antibody level	None
Increased intracellular Na+ levels	None
Increased intracellular sodium	None
High intracellular Na	None
Decreased lymphocyte proliferation in response to mitogen	None
Reduced lymphocyte proliferation to mitogen	None
Increased level of anti-drug IgE antibody	None
Increased anti-drug IgE antibody level	None
Abnormality of T cell physiology	None
Impaired T cell function	None
T-cell dysfunction	None
Increased anti-parasite IgE antibody level	None
Abnormality of mucopolysaccharide metabolism	None
Monoclonal elevation of circulating IgA	None
Decreased IgM level	None
IgM deficiency	None
Decreased IgM	None
Reduced IgM levels	None
Decreased circulating total IgM	None
Heavy-chain paraproteinemia	None
Profound depletion of T4+ lymphocytes	None
Decreased T cell activation	None
Decreased T lymphocyte activation	None
Decreased T-lymphocyte activation	None
Defective T cell activation	None
Decreased T-cell activation	None
Mitochondrial dysfunction	None
Abnormality of mitochondrial metabolism	None
Ascending aorta hypoplasia	None
Ascending aortic dissection	None
Type A aortic dissection	None
Pulmonary arterial hypertension	None
Pulmonary artery hypertension	None
Increased blood pressure in blood vessels of lungs	None
Primary pulmonary hypertension	None
Vascular calcification	None
Aortic medial fibrosis	None
Palmoplantar erythema	None
Hypovolemic shock	None
Aortic elastic fiber disorganization	None
Electrocardiographic long PR interval	None
Prolonged PR interval	None
Lengthened PR interval on EKG	None
Abnormal inferior vena cava morphology	None
Abnormality of internal jugular vein	None
Abnormal heart rate variability	None
Common atrioventricular canal	None
Atrioventricular canal	None
Complete common AV canal	None
Complete atrioventricular canal defect	None
Complete atrioventricular septal defect	None
Lingual angioectasias	None
Spider veins of the tongue	None
Lingual telangiectasia	None
Tongue telangiectasia	None
Angioectasias of the tongue	None
Foam cells with lamellar inclusion bodies	None
EKG: T-wave inversion	None
T-wave inversion	None
Pulmonic valve myxoma	None
Peripheral arteriovenous fistula	None
Blocked retinal artery	None
Retinal arteriolar occlusion	None
Criss-cross atrioventricular valves	None
Peripheral retinal avascularization	None
Atrial septal hypertrophy	None
Large vessel vasculitis	None
Left anterior hemiblock	None
Left anterior fascicular block	None
Bleeding within the skull	None
Intracranial hemorrhage	None
Double inlet right ventricle	None
Abnormal ST segment	None
Polymorphic ventricular tachycardia	None
Persistant truncus arteriosus	None
Common arterial trunk	None
Truncus arteriosus	None
Abnormal direction of ventricular apex	None
Hyphema	None
Left-to-right shunt	None
Racing heart	None
Elevated heart rate	None
Heart racing	None
Fast heart rate	None
Rapid heart beat	None
Increased heart rate	None
Tachycardia	None
Inappropriate sinus tachycardia	None
Underdeveloped aortic arch	None
Hypoplastic aortic arch	None
Aortic arch hypoplasia	None
Atrial standstill	None
Silent atrium	None
Right aortic arch with mirror image branching	None
Aortic rupture	None
Right sided atrium to left ventricle and absent left sided atrioventricular connection	None
Increased heart rate variability	None
Superficial episcleral hyperemia	None
Superficial episcleral hypaeremia	None
Tetralogy of Fallot with pulmonary stenosis	None
Heart stops beating	None
Cardiac arrest	None
Erythema of eyelid	None
Eyelid erythema	None
Erythema of the eyelids	None
Pulmonary hemangiomas	None
Pulmonary capillary hemangiomatosis	None
Aortic laminar medial collapse	None
Splenogonadal fusion	None
Abdominal ectopia cordis	None
Bicuspid pulmonary valve	None
Varicose veins	None
Abnormal ventriculo-arterial connection	None
Abnormal ventriculoarterial connection	None
Pulmonary venous stenosis	None
Pulmonary venoocclusive disease	None
Pulmonary venous occlusion	None
Straddling atrioventricular valve	None
Cerebral artery calcification	None
Hypertensive retinopathy	None
Increased QRS voltage	None
Hypertension associated with pheochromocytoma	None
Thymus hyperplasia	None
Thymic hyperplasia	None
Enlarged thymus	None
Abnormality of the atrioventricular valves	None
Abnormal atrioventricular valve morphology	None
Abnormal capillary physiology	None
Absence of the pulmonary valve	None
Absent pulmonary valve	None
Right bundle-branch block	None
Right bundle branch block	None
Retinal vascular proliferation	None
Spontaneous hematomas	None
Premature sudden cardiac death	None
Sudden cardiac death	None
Labial hemangioma	None
Abnormal spleen physiology	None
Coronary artery spasm	None
Coronary artery vasospasm	None
Patent foramen ovale	None
Vascular tortuosity	None
Twisted blood vessels	None
Persistent ductus arteriosus	None
Patent ductus arteriosus	None
Persistent arterial duct	None
Ductus arteriosus	None
Peripheral pulmonary artery stenosis	None
Peripheral pulmonic stenosis	None
Narrowing of peripheral lung artery	None
peripheral pulmonary stenosis	None
Abnormal lymphatic vessel morphology	None
Abnormality of the lymphatic vessels	None
Subdural haematoma	None
Subdural hemorrhage	None
Premature coronary artery disease	None
Premature coronary artery atherosclerosis	None
Round retinal heme	None
Dot-and-blot retinal hemorrhage	None
Dot-and-blot retinal haemorrhage	None
Spleen hemangioma	None
Splenic hemangioma	None
Palmar telangiectasia	None
Teleangiectases of palms	None
Telangiectases of palms and soles	None
Atrial situs inversus	None
Vein of servelle	None
Lateral venous anomaly	None
Lateral marginal vein of Servelle	None
Anomalous origin of the left circumflex artery from the right coronary artery	None
Tetralogy of Fallot with absent subarterial conus	None
Double outlet right ventricle	None
DORV	None
Double-outlet right ventricle	None
Abnormality of nasopharyngeal tonsil	None
Abnormality of nasopharyngeal adenoids	None
Abnormality of adenoids	None
Abnormality of pharyngeal tonsil	None
Cherry red spot of the macula	None
Macular cherry red spot	None
Ventricular arrhythmia	None
Ventricular arrhythmias	None
Colonic arteriovenous malformation	None
Plantar teleangiectasia	None
Teleangiectases of soles	None
Telangiectases of soles	None
Plantar telangiectasia	None
Abnormal left atrium morphology	None
Right ventricular anomalous muscle bundle	None
Anomalous muscle bundle of the right ventricle	None
Abnormality of the tricuspid valve	None
Abnormal tricuspid valve morphology	None
Atrial fibrillation	None
Quivering upper heart chambers resulting in irregular heartbeat	None
Blood clot in artery of lung	None
Pulmonary embolism	None
Atrial flutter	None
Midsystolic murmur	None
Abnormal systemic BP	None
Abnormal systemic blood pressure	None
Low-output congestive heart failure	None
Enlarged heart	None
Increased heart size	None
Cardiomegaly	None
Total anomalous pulmonary venous return	None
Total anomalous pulmonary venous connection	None
Total anomalous pulmonary venous drainage	None
Anomalous origin of right coronary artery from the pulmonary artery	None
Abnormal second heart sound	None
Internal carotid artery dissection	None
Jaw pain while chewing	None
Jaw claudication	None
Abnormal lacrimal artery morphology	None
Abnormality of lacrimal artery	None
Hemiretinal vein occlusion	None
Fourth heart sound	None
Vertebrobasilar dolichoectasia	None
Posterior communicating artery aneurysm	None
Ventricular extrasystoles	None
Extra heart beat	None
Skipped heartbeat	None
Premature ventricular contractions	None
Missed heartbeat	None
Renovascular hypertension	None
Hypertension due to renal artery hyperplasia	None
Pulmonary lymphangiectasis	None
Pulmonary lymphangiectasia	None
Mildly reduced ejection fraction	None
Telangiectases in sun-exposed and nonexposed skin	None
Abnormality of ductus venosus blood flow	None
AV nodal reentry tachycardia	None
Atrioventricular reentrant tachycardia	None
Criss-cross atrioventricular valves with superior-inferior ventricles	None
Femoral arterial calcification	None
Uterine arteriovenous malformation	None
Triatrial heart	None
Cor triatriatum	None
Tetralogy of Fallot with atrioventricular canal defect	None
Shock	None
Erythema chronicum migrans	None
Erythema migrans	None
Abnormal thoracic duct morphology	None
Tricuspid valve regurgitation	None
Tricuspid insufficiency	None
Tricuspid regurgitation	None
Congenital hypertrophy of left ventricle	None
Duodenal arteriovenous malformation	None
Common origin of the right brachiocephalic artery and left common carotid artery	None
Bovine arch	None
Ovine arch	None
Common brachiocephalic trunk	None
Intestinal bleeding	None
Intestinal hemorrhage	None
Abnormally shaped heart	None
Abnormality of cardiac morphology	None
Abnormal heart morphology	None
Abnormality of the heart	None
Congenital heart defects	None
Congenital heart defect	None
Cardiac abnormality	None
Cardiac anomalies	None
Budd-Chiari syndrome	None
Abnormal QRS voltage	None
Low pulse pressure	None
Type IV truncus arteriosus	None
Type 4 truncus arteriosus	None
Persistent truncus arteriosus type IV	None
Splenic abscess	None
Mitral valve prolapse	None
Dilatation of celiac artery	None
Celiac artery aneurysm	None
Cerebrovascular ischemia	None
Brain ischemia	None
Cerebral ischemia	None
Disruption of blood oxygen supply to brain	None
Long segment coarctation of the aorta	None
Abnormal atrioventricular connection	None
Abnormal pulmonary valve morphology	None
Abnormality of the pulmonary valve	None
Anomaly of the pulmonary valve	None
Middle cerebral artery calcification	None
Internal carotid artery calcification	None
Lymphangioma	None
Complete heart block with narrow QRS complexes	None
Multilobulated spleen	None
Multi-lobulated spleen	None
Patent ostium secundum	None
Secundum atrial septal defect	None
Atrial septal defect, ostium secundum type	None
Ostium secundum atrial septal defect	None
Paraspinal hemangioma	None
Abnormality of lingual artery	None
Abnormal lingual artery morphology	None
Facial erythema	None
Blushed cheeks	None
Rosacea	None
Red face	None
Red in the face	None
Blushing	None
Ruddy face	None
