Abnormality of taste sensation	HP:0000223
Muscular hypertrophy of the calf muscles	None
Limb-girdle muscular dystrophy	None
limb girdle muscular dystrophy	None
Aplasia of the musculature of the pelvis	None
Abnormality of intrinsic muscle of tongue	None
Abnormality of intrinsic lingual muscle	None
Difficulty climbing stairs	None
Difficulty walking up stairs	None
Type 1 and type 2 muscle fiber minicore regions	None
Abnormal muscle fiber lamin A/C	None
Contracture of the proximal interphalangeal joint of the 3rd toe	None
Camptodactyly of the 3rd toe	None
Cold-induced muscle cramps	None
Absent/small quadriceps	None
Absent/underdeveloped quadriceps	None
Aplasia/Hypoplasia of the quadriceps	None
Diminished diaphragmatic motion	None
Weak diaphragm	None
Diaphragmatic paraparesis	None
Diaphragmatic weakness	None
Abnormality of nasalis muscle	None
EMG: myopathic abnormalities	None
EMG: myopathy	None
Myopathic electromyogram	None
EMG: myopathic changes	None
EMG: decrement at repetitive stimulation	None
EMG: decremental response of CMAP to repetitive nerve stimulation	None
EMG: decremental response of compound muscle action potential to repetitive nerve stimulation	None
Increased variation in muscle fiber size	None
Increased variability in muscle fiber diameter	None
Variation in muscle fiber size	None
Increased variability in muscle fiber size	None
Increased fiber size variation	None
Increased variation in fiber size	None
Distal limb muscle weakness due to peripheral neuropathy	None
Weakness of distal muscles	None
Distal muscle weakness	None
Distal paresis	None
Distal limb weakness	None
Distal muscular weakness	None
Muscle weakness, distal	None
Muscle weakness, distal limbs, due to neuronopathy	None
Weakness of outermost muscles	None
Distal limb muscle weakness	None
Flexion contracture of digit	None
Abnormality of inferior rectus extraocular muscle	None
Abnormal muscle fiber delta sarcoglycan	None
Muscle cramps	None
Muscle spasm	None
Abnormality of depressor labii inferioris	None
Abnormality of depressor labii inferioris muscle	None
Joint contractures of the 3rd toe	None
Flexion contracture of 3rd toe	None
Contracture of the metacarpophalangeal joint of the 5th finger	None
Calcinosis	None
Calcium buildup in soft tissues of body	None
Abnormality of lateral pterygoid muscle	None
Underdevelopment of facial muscles	None
Hypotrophic facial musculature	None
Small facial muscles	None
Hypoplasia of facial musculature	None
Deficiency of facial musculature	None
Decreased size of facial muscles	None
Atrophy of facial musculature	None
Single fiber EMG abnormality	None
Contractures, lower limbs	None
Contractures of the joints of the lower limbs	None
Hypertrophic muscles	None
Increased skeletal muscle cells	None
Skeletal muscle hypertrophy	None
Muscular hypertrophy	None
Muscle hypertrophy	None
Proximal muscle weakness in upper limbs	None
Cardiac rhabdomyoma	None
Reduced muscle fiber delta sarcoglycan	None
Fatty replacement of skeletal muscle	None
Skeletal muscle fatty infiltration	None
Mitochondrial proliferation in muscle tissue	None
Ragged-red fibers	None
Ragged red muscle fibers	None
Ragged-red muscle fibers	None
Abnormality of lateral rectus extra-ocular muscle	None
Abnormal muscle morphology	None
Abnormality of muscle morphology	None
Abnormal skeletal muscle morphology	None
Abnormally shaped muscle	None
Issue with muscle structure	None
Intermittent episodes of respiratory insufficiency due to muscle weakness	None
Episodic flaccid weakness	None
Plantar flexion contractures	None
Oral motor hypotonia	None
Absent muscle fiber delta sarcoglycan	None
Abnormality of muscle of nose	None
Abnormality of nasal musculature	None
Abnormality of musculature of the nose	None
Skeletal myopathy	None
Decreased arm strength	None
Upper limb muscle weakness	None
Weak arm	None
Muscle fiber cytoplasmic bodies	None
Muscle fiber cytoplasmatic inclusion bodies	None
Cold paresis	None
Absent left hemidiaphragm	None
Viral infection-induced rhabdomyolysis	None
Abnormal limb muscles	None
Abnormality of the musculature of the limbs	None
Muscle issues in the arms and/or legs	None
Joint contractures of the 2nd finger	None
Flexion contracture of the 2nd finger	None
Myotonia	None
Delayed relaxation of muscle fibers after contraction	None
Contracture of the tarsometatarsal joint of the hallux	None
Underdeveloped diaphragm	None
Hypoplasia of the diaphragm	None
Muscle stiffness with exercise	None
Exercise-induced muscle stiffness	None
Muscle stiffness, exercise-induced	None
EMG: myotonic runs	None
EMG: spontaneous, repetitive electrical activity	None
Spinal muscular atrophy	None
Spinal muscle degeneration	None
Spinal muscle wasting	None
Deposits immunoreactive to beta-amyloid protein	None
Abnormal muscle fiber valosin-containing protein	None
Dupuytren contracture	None
Abnormality of masseter muscle	None
Abnormality of the musculature of the thorax	None
Congenital hypotonia	None
Low muscle tone, in neonatal onset	None
Hypotonia, in neonatal onset	None
Hypotonia, neonatal	None
Neonatal hypotonia	None
Reduced muscle fiber laminin beta 1	None
Rhabdomyosarcoma	None
Camptodactyly of feet	None
Camptodactyly of toe	None
Levator palpebrae superioris atrophy	None
Camptodactyly of the fourth toe	None
Camptodactyly of the 4th toe	None
Contracture of the proximal interphalangeal joint of the 4th toe	None
Contracture of the innermost hinge joint of the 4th toe	None
Lower limb muscle hypotrophy	None
Lower limb degeneration	None
Muscle atrophy, lower limb, distal	None
Lower leg amyotrophy	None
Lower limb atrophy	None
Distal lower limb amyotrophy	None
Abdominal muscular hypoplasia	None
Hypoplasia of the abdominal wall musculature	None
Muscular dystrophy	None
Muscle biopsy shows dystrophic changes	None
Contractures of the metacarpophalangeal joint of the thumb	None
Abnormality of the extraocular muscles	None
Distal upper limb muscle atrophy	None
Distal upper limb amyotrophy	None
Small pec muscle on one side	None
Underdeveloped pec muscle on one side	None
Unilateral hypoplasia of pectoralis major muscle	None
Type 2 muscle fiber predominance	None
Type II muscle fiber predominance	None
Abnormal muscle fiber merosin expression	None
Segmental spinal muscular atrophy	None
Calcification of muscles	None
Skeletal muscle calcinosis	None
Tibialis muscle weakness	None
Interphalangeal extension contractures of thumbs	None
Contractures of the interphalangeal joint of the thumb	None
Myelin-like whorls in vacuolated fibres	None
Myelin-like whorls in vacuolated fibers	None
Muscle fiber tubular inclusions	None
Muscle fiber tubular aggregates	None
Mitochondrial myopathy	None
Atony of facial musculature	None
Facial hypotonia	None
Low facial muscle tone	None
Decreased facial muscle tone	None
Reduced facial muscle tone	None
Hypotonic facies	None
Rectus femoris muscle atrophy	None
Atrophy of the rectus femoris muscles	None
Thenar muscle atrophy	None
Triceps weakness	None
Absent muscle fiber merosin	None
Absent merosin staining in muscle biopsy	None
Absent muscle fiber laminin alpha 2	None
Craniofacial teratoma	None
Barret syndrome	None
Endobrachyesophagus	None
Barrett's esophagus	None
Barrett esophagus	None
Anal canal tumor	None
Anal canal neoplasm	None
Kaposi's sarcoma	None
Face tumor	None
Facial neoplasm	None
Exostoses of the radius	None
Hepatoblastoma	None
Tumor of mouth	None
Lesion of mouth	None
Neoplasm of the oral cavity	None
Tumor of oral cavity	None
Neoplasm of the mouth	None
Lesion of oral cavity	None
Multiple cutaneous malignancies	None
Neoplasm of the outer ear	None
Outer ear tumor	None
Esophageal squamous papilloma	None
Vulvar melanoma	None
Rectal tumor	None
Neoplasm of the rectum	None
Small intestinal polyp	None
Tricholemmoma	None
Trichilemmoma	None
Sacral lipoma	None
Urinary tract neoplasia	None
Urinary tract neoplasm	None
Intrathoracic cystic hygroma	None
Thoracic cystic lymphangioma	None
Mediastinal cystic lymphangioma	None
Cutaneous T-cell lymphoma	None
Gastrointestinal tract tumor	None
Neoplasm of the gastrointestinal tract	None
Gastrointestinal tract neoplasia	None
GI tract tumor	None
Neoplasm of the GI tract	None
Gastrointestinal tract neoplasm	None
T-cell acute lymphoblastic leukemias	None
Paraspinal hemangioma	None
Ovarian sex cord-stromal tumor	None
Ovarian thecoma	None
Osteoblastoma	None
Benign muscle neoplasm	None
Neurocytoma	None
Malignant synovioma	None
Synovial sarcoma	None
Mucinous neoplasm of the ovary	None
Ovarian mucinous tumor	None
Ossifying fibroma of the jaw	None
Basal cell nevus	None
Basal cell epithelioma	None
Basal cell carcinomas	None
Basalioma	None
Basal cell carcinoma	None
Palate neoplasm	None
Combined hamartoma of the retinal pigment epithelium and retina	None
Mucinous colorectal carcinoma	None
Refractory anemia with ringed sideroblasts	None
Myelodysplasia with sideroblastosis	None
Neoplasm of the nail	None
Nail tumor	None
Acute myelomonocytic leukemia	None
Appendiceal mucinous neoplasm	None
Blood vessel tumor	None
Vascular neoplasm	None
Juvenile type ovarian granulosa cell tumor	None
Ovarian juvenile granulosa cell tumour	None
Ovarian juvenile granulosa cell tumor	None
Neoplasm of head and neck	None
Head and neck tumor	None
Head and neck cancer	None
Salivary gland neoplasia	None
Salivary gland neoplasm	None
Cancer of salivary gland	None
Tumor of salivary gland	None
Stomach tumor	None
Neoplasia of the stomach	None
Neoplasm of the stomach	None
Increased gastric cancer	None
Pulmonary lymphoma	None
Conjunctival hamartoma	None
ureter, cancer of	None
Neoplasia of the ureters	None
Neoplasm of the ureter	None
Neoplasia of the eye	None
Neoplasm of the eye	None
Eye tumor	None
Nonmedullary thyroid carcinoma	None
Thyroid cancer, nonmedullary	None
Non-medullary thyroid carcinoma	None
Acute myeloblastic leukemia	None
Acute myelogenous leukemia	None
Acute myelocytic leukemia	None
Acute myeloid leukemia	None
AML	None
Koenen tumor	None
Koenen's tumor	None
Ungual fibroma	None
Periungual fibroma	None
Parungual fibromas	None
Papillary renal cell carcinoma type 1	None
Formation of new noncancerous bone on top of existing bone	None
Exostoses	None
Testicular seminoma	None
Ciliary body melanoma	None
Basal cell papilloma	None
Seborrheic verruca	None
Seborrheic keratosis	None
Senile wart	None
Neoplasm by histology	None
Non-secretory adrenal adenoma	None
Non-secretory adrenocortical adenoma	None
Neoplasm of the tongue	None
Nodular melanoma	None
Follicular thyroid carcinoma	None
Rectal polyps	None
Rectal polyposis	None
Multiple rectal polyps	None
Skin adnexal neoplasm	None
Skin appendage neoplasm	None
Skin adnexal tumor	None
Infantile digital fibromatosis	None
Infantile digital fibroma	None
Digital fibrous tumor of Reye	None
Inclusion body fibromatosis	None
Neoplasia of the pleura	None
Sarcomatoid carcinoma of the tongue	None
Spindle cell carcinoma of the tongue	None
Increased incidence of hepatocellular carcinoma	None
Increased hepatocellular carcinoma risk	None
Hepatocellular carcinoma	None
Esophageal neoplasm	None
Esophageal tumor	None
Chronic myelomonocytic leukemia	None
Diffuse leiomyomatosis	None
Peripheral primitive neuroectodermal neoplasm	None
Neoplasm of the heart	None
Cardiac neoplasm	None
Heart tumor	None
Cardiac neoplasia	None
Precocious puberty with Sertoli cell tumor	None
Sertoli cell neoplasm	None
Sertoli cell neoplasia	None
Cavernous hemangioma	None
Cavernous haemangioma	None
Cavernous angioma	None
Collection of dilated blood vessels that forms mass	None
Biliary tract neoplasm	None
Neoplasia of the biliary tract	None
Retinal hamartoma	None
Cutaneous myxoma	None
Neoplasia of the urethra	None
Neoplasm of the urethra	None
Exostoses of the forearm bones	None
Midface capillary hemangioma	None
Midfacial capillary hemangioma	None
Vulvar intraepithelial neoplasia	None
Neoplasm of the pituitary gland	None
Choroidal hemangioma	None
Acute blood cancer	None
Acute leukemia	None
Acute leukemias	None
Ovarian neoplasia	None
Ovarian tumor	None
Neoplasm of the ovaries	None
Neoplasm of the ovary	None
Ovarian neoplasm	None
Ovarian cancer	None
Squamous Papilloma	None
Adenocarcinoma of the large intestine	None
Laryngeal cancer	None
Laryngeal carcinoma	None
Cancer of the larynx	None
Bladder carcinoma	None
Vaginal clear cell adenocarcinoma	None
Clear cell adenocarcinoma of the vagina	None
Thymoma	None
Cardiac sarcoma	None
Apocrine hidrocystoma	None
Ileal adenocarcinoma	None
Gastric leiomyosarcoma	None
Squamous cell cancer	None
Squamous cell carcinoma	None
Genital neoplasm	None
Genital tumor	None
Genital neoplasia	None
Cutaneous melanoma	None
Facial wart	None
Facial verruca	None
Facial papilloma	None
Epididymal neoplasm	None
Intestinal polyp	None
Intestinal polyps	None
Malignant GI tract tumors	None
